 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     MainWing                                
     # Chordwise =  8   # Spanwise = 14     First strip =  1
     Surface area =   46.029388       Ave. chord =    3.269998
     CLsurf  =   0.70654     Clsurf  =  -0.14400
     CYsurf  =  -0.06504     Cmsurf  =  -1.00394
     CDsurf  =   0.03688     Cnsurf  =  -0.01063
     CDisurf =   0.03688     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.41127     CDsurf  =   0.07336
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.5000   5.4336   5.4632   6.5880   0.1589   1.3536   1.2044   0.1464   0.0000  -0.2518  -0.5157    0.460
     2   1.5000   5.1007   5.1285   6.4244   0.1484   1.4112   1.2556   0.1247   0.0000  -0.2348  -0.5113    0.438
     3   2.5000   4.7679   4.7938   6.2005   0.1340   1.4607   1.2997   0.1086   0.0000  -0.2166  -0.5042    0.417
     4   3.5000   4.4350   4.4592   5.9169   0.1173   1.5018   1.3363   0.0932   0.0000  -0.1967  -0.4940    0.398
     5   4.5000   4.1021   4.1245   5.5889   0.0962   1.5368   1.3674   0.0776   0.0000  -0.1759  -0.4816    0.379
     6   5.5000   3.7693   3.7898   5.2661   0.0843   1.5787   1.4047   0.0645   0.0000  -0.1615  -0.4766    0.365
     7   6.5000   3.4364   3.4551   4.9604   0.0836   1.6333   1.4533   0.0544   0.0000  -0.1561  -0.4826    0.358
     8   7.5000   3.1036   3.1205   4.6337   0.0805   1.6916   1.5051   0.0442   0.0000  -0.1533  -0.4916    0.352
     9   8.5000   2.7707   2.7858   4.2782   0.0763   1.7516   1.5586   0.0336   0.0000  -0.1515  -0.5020    0.347
    10   9.5000   2.4379   2.4511   3.8894   0.0717   1.8121   1.6124   0.0221   0.0000  -0.1500  -0.5128    0.343
    11  10.5000   2.1050   2.1165   3.4614   0.0675   1.8702   1.6640   0.0097   0.0000  -0.1482  -0.5227    0.339
    12  11.5000   1.7721   1.7818   2.9838   0.0652   1.9174   1.7060  -0.0039   0.0000  -0.1450  -0.5290    0.335
    13  12.5000   1.4393   1.4471   2.4294   0.0692   1.9246   1.7124  -0.0173   0.0000  -0.1371  -0.5228    0.330
    14  13.5000   1.1064   1.1125   1.7009   0.0952   1.7541   1.5608  -0.0229   0.0000  -0.1122  -0.4645    0.322

  Surface # 2     MainWing (YDUP)                         
     # Chordwise =  8   # Spanwise = 14     First strip = 15
     Surface area =   46.029388       Ave. chord =    3.269998
     CLsurf  =   0.70653     Clsurf  =   0.14400
     CYsurf  =   0.06504     Cmsurf  =  -1.00394
     CDsurf  =   0.03688     Cnsurf  =   0.01063
     CDisurf =   0.03688     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   1.41127     CDsurf  =   0.07336
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    15  -0.5000   5.4336   5.4632   6.5880   0.1589   1.3536   1.2044   0.1464   0.0000  -0.2518   0.5157    0.460
    16  -1.5000   5.1007   5.1285   6.4244   0.1484   1.4112   1.2556   0.1247   0.0000  -0.2348   0.5113    0.438
    17  -2.5000   4.7679   4.7938   6.2005   0.1340   1.4607   1.2997   0.1086   0.0000  -0.2166   0.5042    0.417
    18  -3.5000   4.4350   4.4592   5.9169   0.1173   1.5018   1.3363   0.0932   0.0000  -0.1967   0.4940    0.398
    19  -4.5000   4.1021   4.1245   5.5889   0.0962   1.5368   1.3674   0.0776   0.0000  -0.1759   0.4816    0.379
    20  -5.5000   3.7693   3.7898   5.2661   0.0843   1.5787   1.4047   0.0645   0.0000  -0.1615   0.4766    0.365
    21  -6.5000   3.4364   3.4551   4.9604   0.0836   1.6333   1.4533   0.0544   0.0000  -0.1561   0.4826    0.358
    22  -7.5000   3.1036   3.1205   4.6337   0.0805   1.6916   1.5051   0.0442   0.0000  -0.1533   0.4916    0.352
    23  -8.5000   2.7707   2.7858   4.2782   0.0763   1.7516   1.5586   0.0336   0.0000  -0.1515   0.5020    0.347
    24  -9.5000   2.4379   2.4511   3.8894   0.0717   1.8121   1.6124   0.0221   0.0000  -0.1500   0.5128    0.343
    25 -10.5000   2.1050   2.1165   3.4614   0.0675   1.8702   1.6640   0.0097   0.0000  -0.1482   0.5227    0.339
    26 -11.5000   1.7721   1.7818   2.9838   0.0652   1.9174   1.7060  -0.0039   0.0000  -0.1450   0.5290    0.335
    27 -12.5000   1.4393   1.4471   2.4294   0.0692   1.9246   1.7124  -0.0172   0.0000  -0.1371   0.5228    0.330
    28 -13.5000   1.1064   1.1125   1.7009   0.0952   1.7541   1.5608  -0.0229   0.0000  -0.1122   0.4645    0.322
 ---------------------------------------------------------------
